,end_station_name,end station popularity,data info
0,1 Ave & E 62 St,1,2023-06-01
1,10 Ave & W 14 St,3,2023-06-01
2,11 Ave & W 27 St,1,2023-06-01
3,11 St & Washington St,1789,2023-06-01
4,12 Ave & W 40 St,7,2023-06-01
5,12 St & Sinatra Dr N,2182,2023-06-01
6,14 St Ferry - 14 St & Shipyard Ln,1927,2023-06-01
7,2 Ave & E 72 St,1,2023-06-01
8,2 St & Park Ave,938,2023-06-01
9,27 Ave & 3 St,1,2023-06-01
10,35 St & 34 Ave,1,2023-06-01
11,4 St & Grand St,919,2023-06-01
12,5 Ave & E 72 St,1,2023-06-01
13,5 Ave & E 87 St,1,2023-06-01
14,5 Ave & E 93 St,1,2023-06-01
15,5 Corners Library,289,2023-06-01
16,6 Ave & Broome St,2,2023-06-01
17,6 Ave & Canal St,1,2023-06-01
18,6 Ave & W 33 St,1,2023-06-01
19,6 Ave & Walker St,4,2023-06-01
20,6 St & Grand St,805,2023-06-01
21,7 St & Monroe St,1175,2023-06-01
22,8 Ave & W 16 St,1,2023-06-01
23,8 Ave & W 33 St,1,2023-06-01
24,8 Ave & W 49 St,3,2023-06-01
25,8 St & Washington St,1454,2023-06-01
26,9 St HBLR - Jackson St & 8 St,1263,2023-06-01
27,Adams St & 11 St,601,2023-06-01
28,Adams St & 2 St,1145,2023-06-01
29,Astor Place,342,2023-06-01
30,Ave C & E 16 St,1,2023-06-01
31,Avenue D & E 10 St,1,2023-06-01
32,Avenue D & E 3 St,1,2023-06-01
33,Baldwin at Montgomery,696,2023-06-01
34,Barclay St & Church St,2,2023-06-01
35,Bayard St & Baxter St,1,2023-06-01
36,Bergen Ave,465,2023-06-01
37,Bergen Ave & Sip Ave,1423,2023-06-01
38,Bergen Ave & Stegman St,110,2023-06-01
39,Bleecker St & Crosby St,1,2023-06-01
40,Bloomfield St & 15 St,1120,2023-06-01
41,Broadway & Morris St,1,2023-06-01
42,Broadway & W 168 St,2,2023-06-01
43,Broadway & W 38 St,1,2023-06-01
44,Broadway & W 41 St,1,2023-06-01
45,Broadway & W 56 St,7,2023-06-01
46,Broadway & W 58 St,1,2023-06-01
47,Brunswick & 6th,975,2023-06-01
48,Brunswick St,898,2023-06-01
49,Canal St & Rutgers St,1,2023-06-01
50,Carmine St & 6 Ave,1,2023-06-01
51,Catherine St & Monroe St,1,2023-06-01
52,Central Park West & W 68 St,1,2023-06-01
53,Christ Hospital,405,2023-06-01
54,Christopher St & Greenwich St,2,2023-06-01
55,Church Sq Park - 5 St & Park Ave,1159,2023-06-01
56,City Hall,1695,2023-06-01
57,City Hall - Washington St & 1 St,2464,2023-06-01
58,Cliff St & Fulton St,1,2023-06-01
59,Clinton Ave & Myrtle Ave,1,2023-06-01
60,Clinton St & 7 St,1354,2023-06-01
61,Clinton St & Newark St,1254,2023-06-01
62,Columbus Drive,1405,2023-06-01
63,Columbus Park - Clinton St & 9 St,1580,2023-06-01
64,Communipaw & Berry Lane,445,2023-06-01
65,Dey St,227,2023-06-01
66,Division St & Bowery,1,2023-06-01
67,Dixon Mills,736,2023-06-01
68,E 10 St & Avenue A,1,2023-06-01
69,E 11 St & 1 Ave,1,2023-06-01
70,E 13 St & 2 Ave,1,2023-06-01
71,E 17 St & Broadway,1,2023-06-01
72,E 2 St & Avenue A,1,2023-06-01
73,E 25 St & 2 Ave,1,2023-06-01
74,E 39 St & Lexington Ave,1,2023-06-01
75,E 4 St & 2 Ave,1,2023-06-01
76,E 40 St & Park Ave,3,2023-06-01
77,E 43 St & Madison Ave,2,2023-06-01
78,E 5 St & Cooper Sq,3,2023-06-01
79,E 51 St & Lexington Ave,1,2023-06-01
80,E 53 St & Lexington Ave,2,2023-06-01
81,E 53 St & Madison Ave,1,2023-06-01
82,E 65 St & 2 Ave,1,2023-06-01
83,E 82 St & East End Ave,1,2023-06-01
84,E 84 St & 1 Ave,1,2023-06-01
85,E 85 St & 3 Ave,1,2023-06-01
86,E 88 St & 1 Ave,1,2023-06-01
87,E 9 St & Avenue C,1,2023-06-01
88,E 97 St & 3 Ave,1,2023-06-01
89,Essex Light Rail,594,2023-06-01
90,Exchange Pl,1785,2023-06-01
91,Fairmount Ave,434,2023-06-01
92,Fulton St & Broadway,2,2023-06-01
93,Gansevoort St & Hudson St,1,2023-06-01
94,Glenwood Ave,214,2023-06-01
95,Grand Concourse & E 164 St,1,2023-06-01
96,Grand St,1101,2023-06-01
97,Grand St & 14 St,1431,2023-06-01
98,Grand St & Greene St,1,2023-06-01
99,Grant Ave & MLK Dr,46,2023-06-01
100,Greene Ave & Nostrand Ave,1,2023-06-01
101,Greene St & Prince St,1,2023-06-01
102,Greenwich St & Hubert St,11,2023-06-01
103,Greenwich St & Perry St,1,2023-06-01
104,Greenwich St & Rector St,1,2023-06-01
105,Grove St PATH,5293,2023-06-01
106,Hamilton Park,2257,2023-06-01
107,Harborside,1605,2023-06-01
108,Heights Elevator,420,2023-06-01
109,Henry St & Grand St,1,2023-06-01
110,Hilltop,499,2023-06-01
111,Hoboken Ave at Monmouth St,1873,2023-06-01
112,Hoboken Terminal - Hudson St & Hudson Pl,2661,2023-06-01
113,Hoboken Terminal - River St & Hudson Pl,3857,2023-06-01
114,Hudson St & 4 St,1666,2023-06-01
115,Hudson St & Reade St,3,2023-06-01
116,Hudson St & W 13 St,2,2023-06-01
