,start_station_name,start station popularity,data info
0,1 Ave & E 62 St,1,2023-06-01
1,11 Ave & W 59 St,1,2023-06-01
2,11 St & Washington St,1782,2023-06-01
3,12 St & Sinatra Dr N,2164,2023-06-01
4,14 St Ferry - 14 St & Shipyard Ln,1931,2023-06-01
5,2 Ave & E 72 St,1,2023-06-01
6,2 St & Park Ave,930,2023-06-01
7,35 St & 34 Ave,1,2023-06-01
8,4 St & Grand St,937,2023-06-01
9,5 Ave & E 72 St,1,2023-06-01
10,5 Ave & E 87 St,1,2023-06-01
11,5 Corners Library,325,2023-06-01
12,6 Ave & Canal St,1,2023-06-01
13,6 St & Grand St,828,2023-06-01
14,7 St & Monroe St,1164,2023-06-01
15,8 Ave & W 49 St,1,2023-06-01
16,8 Ave & W 52 St,1,2023-06-01
17,8 St & Washington St,1470,2023-06-01
18,9 St HBLR - Jackson St & 8 St,1270,2023-06-01
19,Adams St & 11 St,599,2023-06-01
20,Adams St & 2 St,1136,2023-06-01
21,Astor Place,348,2023-06-01
22,Avenue D & E 10 St,1,2023-06-01
23,Avenue D & E 3 St,1,2023-06-01
24,Baldwin at Montgomery,696,2023-06-01
25,Bergen Ave,472,2023-06-01
26,Bergen Ave & Sip Ave,1461,2023-06-01
27,Bergen Ave & Stegman St,126,2023-06-01
28,Bleecker St & Crosby St,1,2023-06-01
29,Bloomfield St & 15 St,1141,2023-06-01
30,Broadway & W 168 St,2,2023-06-01
31,Broadway & W 38 St,1,2023-06-01
32,Broadway & W 41 St,1,2023-06-01
33,Broadway & W 53 St,1,2023-06-01
34,Broadway & W 56 St,7,2023-06-01
35,Broadway & W 58 St,1,2023-06-01
36,Brunswick & 6th,979,2023-06-01
37,Brunswick St,887,2023-06-01
38,Catherine St & Monroe St,1,2023-06-01
39,Christ Hospital,420,2023-06-01
40,Church Sq Park - 5 St & Park Ave,1154,2023-06-01
41,City Hall,1823,2023-06-01
42,City Hall - Washington St & 1 St,2394,2023-06-01
43,Cliff St & Fulton St,1,2023-06-01
44,Clinton St & 7 St,1358,2023-06-01
45,Clinton St & Newark St,1242,2023-06-01
46,Columbus Drive,1414,2023-06-01
47,Columbus Park - Clinton St & 9 St,1590,2023-06-01
48,Communipaw & Berry Lane,446,2023-06-01
49,Dey St,240,2023-06-01
50,Division Ave & Hooper St,1,2023-06-01
51,Division St & Bowery,1,2023-06-01
52,Dixon Mills,721,2023-06-01
53,E 13 St & 2 Ave,1,2023-06-01
54,E 2 St & Avenue A,1,2023-06-01
55,E 25 St & 2 Ave,1,2023-06-01
56,E 4 St & 2 Ave,1,2023-06-01
57,E 43 St & Madison Ave,2,2023-06-01
58,E 82 St & East End Ave,1,2023-06-01
59,E 84 St & 1 Ave,1,2023-06-01
60,E 85 St & 3 Ave,1,2023-06-01
61,E 88 St & 1 Ave,1,2023-06-01
62,E 9 St & Avenue C,1,2023-06-01
63,E 97 St & 3 Ave,1,2023-06-01
64,Essex Light Rail,605,2023-06-01
65,Exchange Pl,1786,2023-06-01
66,Fairmount Ave,531,2023-06-01
67,Glenwood Ave,281,2023-06-01
68,Grand St,1103,2023-06-01
69,Grand St & 14 St,1413,2023-06-01
70,Grant Ave & MLK Dr,52,2023-06-01
71,Greene St & Prince St,1,2023-06-01
72,Greenwich St & Perry St,1,2023-06-01
73,Grove St PATH,4918,2023-06-01
74,Hamilton Park,2232,2023-06-01
75,Harborside,1619,2023-06-01
76,Heights Elevator,427,2023-06-01
77,Henry St & Grand St,1,2023-06-01
78,Hilltop,563,2023-06-01
79,Hoboken Ave at Monmouth St,1843,2023-06-01
80,Hoboken Terminal - Hudson St & Hudson Pl,2686,2023-06-01
81,Hoboken Terminal - River St & Hudson Pl,3942,2023-06-01
82,Hudson St & 4 St,1670,2023-06-01
83,JC Medical Center,1264,2023-06-01
84,Jackson Square,157,2023-06-01
85,Jersey & 3rd,890,2023-06-01
86,Jersey & 6th St,579,2023-06-01
87,John St & William St,1,2023-06-01
88,Journal Square,783,2023-06-01
89,Lafayette Park,796,2023-06-01
90,Leonard Gordon Park,453,2023-06-01
91,Lewis Ave & Kosciuszko St,1,2023-06-01
92,Liberty Light Rail,1582,2023-06-01
93,Lincoln Park,512,2023-06-01
94,Madison Av & E 51 St,1,2023-06-01
95,Madison Ave & E 26 St,1,2023-06-01
96,Madison Ave & E 99 St,1,2023-06-01
97,Madison St & 1 St,1281,2023-06-01
98,Madison St & 10 St,971,2023-06-01
99,Mama Johnson Field - 4 St & Jackson St,617,2023-06-01
100,Manila & 1st,1279,2023-06-01
101,Marin Light Rail,1897,2023-06-01
102,Market St & Cherry St,1,2023-06-01
103,Marshall St & 2 St,1183,2023-06-01
104,McGinley Square,736,2023-06-01
105,Monmouth and 6th,652,2023-06-01
106,Montgomery St,660,2023-06-01
107,Morris Canal,1145,2023-06-01
108,Murray St & West St,1,2023-06-01
109,Newark Ave,1466,2023-06-01
110,Newport PATH,2504,2023-06-01
111,Newport Pkwy,2177,2023-06-01
112,Norfolk St & Broome St,1,2023-06-01
113,Oakland Ave,555,2023-06-01
114,Paulus Hook,1103,2023-06-01
115,Pearl St & Hanover Square,1,2023-06-01
116,Perry St & Greenwich Ave,1,2023-06-01
117,Pershing Field,609,2023-06-01
118,Putnam Ave & Knickerbocker Ave,1,2023-06-01
119,Queens Plaza North & Crescent St,1,2023-06-01
120,Riverview Park,667,2023-06-01
121,S 4 St & Roebling St,1,2023-06-01
122,South Waterfront Walkway - Sinatra Dr & 1 St,3474,2023-06-01
123,Southwest Park - Jackson St & Observer Hwy,1278,2023-06-01
124,St Marks Pl & 1 Ave,1,2023-06-01
125,Stevens - River Ter & 6 St,741,2023-06-01
126,Stockholm St & Wilson Ave,1,2023-06-01
127,Sullivan St & Washington Sq,1,2023-06-01
128,Tompkins Ave & Hopkins St,1,2023-06-01
129,Union St,169,2023-06-01
130,University Pl & E 14 St,2,2023-06-01
131,Van Vorst Park,1247,2023-06-01
132,Vesey Pl & River Terrace,1,2023-06-01
133,Vesey St & Church St,1,2023-06-01
134,W 170 St & University Ave,1,2023-06-01
135,W 171 St & St. Nicholas Ave,1,2023-06-01
136,W 44 St & 11 Ave,1,2023-06-01
137,W 49 St & 8 Ave,1,2023-06-01
138,W 89 St & Columbus Ave,1,2023-06-01
139,W Broadway & Spring St,1,2023-06-01
140,Warren St,1421,2023-06-01
141,Washington St,1478,2023-06-01
142,Willow Ave & 12 St,1002,2023-06-01
143,York St & Marin Blvd,450,2023-06-01
0,11 St & Washington St,2049,2023-07-01
1,12 St & Sinatra Dr N,3367,2023-07-01
2,14 St Ferry - 14 St & Shipyard Ln,418,2023-07-01
3,2 St & Park Ave,943,2023-07-01
4,4 St & Grand St,1174,2023-07-01
5,5 Corners Library,400,2023-07-01
6,6 Ave & Canal St,1,2023-07-01
7,6 Ave & W 34 St,1,2023-07-01
8,6 St & Grand St,1013,2023-07-01
9,7 St & Monroe St,1248,2023-07-01
10,8 Ave & W 33 St,1,2023-07-01
11,8 St & Washington St,1688,2023-07-01
12,9 St HBLR - Jackson St & 8 St,1404,2023-07-01
13,Adams St & 11 St,685,2023-07-01
14,Adams St & 2 St,1216,2023-07-01
15,Astor Place,418,2023-07-01
16,Baldwin at Montgomery,964,2023-07-01
17,Bergen Ave,583,2023-07-01
18,Bergen Ave & Sip Ave,2063,2023-07-01
19,Bergen Ave & Stegman St,206,2023-07-01
20,Bloomfield St & 15 St,1770,2023-07-01
21,Brunswick & 6th,881,2023-07-01
22,Brunswick St,1046,2023-07-01
23,Catherine St & Monroe St,1,2023-07-01
24,Christ Hospital,558,2023-07-01
25,Christopher St & Greenwich St,1,2023-07-01
26,Church Sq Park - 5 St & Park Ave,1406,2023-07-01
27,City Hall,1755,2023-07-01
28,City Hall - Washington St & 1 St,2660,2023-07-01
29,Clinton St & 7 St,1513,2023-07-01
30,Clinton St & Newark St,1369,2023-07-01
31,Columbus Drive,1555,2023-07-01
32,Columbus Park - Clinton St & 9 St,1650,2023-07-01
33,Communipaw & Berry Lane,517,2023-07-01
34,Dey St,284,2023-07-01
35,Dixon Mills,737,2023-07-01
